mix_scale,jitter_scale,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,sigma_eps,sigma_noise,eta,inv_eta
1e-06,0.002,5,0.418513196702715,0.3399135868104621,1.9797837076296556,559.6629357936928,0.2930086277483497,2.1131543755827824,0.030377727669463925,1.7500000000000002e-06,0.004,0.0040000003828124815,7.594431190555219,0.13167543097153156
1e-06,0.002,6,0.45168590178773477,0.37462709641515946,1.846402472241911,558.2301425661915,0.2813939593033865,2.065000297128279,0.032884654297047976,1.7500000000000002e-06,0.004,0.0040000003828124815,8.221162787471062,0.1216372946080068
1e-06,0.002,7,0.45686633135192806,0.3827560273822224,1.833560569996142,563.9629629629629,0.27355551402433775,2.0277685734365636,0.0312743026180549,1.7500000000000002e-06,0.004,0.0040000003828124815,7.81857490625171,0.1279005460701544
1e-06,0.002,8,0.43545902649414664,0.3660104899834304,1.8503908046680289,569.9463955637708,0.22336161785642616,1.8340481667820039,0.0316973428199543,1.7500000000000002e-06,0.004,0.0040000003828124815,7.924334946604994,0.1261935552621268
1e-06,0.002,9,0.41851408028759735,0.3534606168925096,1.9062883705625389,554.2654284002397,0.18572731129825115,1.7059990274635364,0.0322292064159296,1.7500000000000002e-06,0.004,0.0040000003828124815,8.057300832873569,0.12411104174241915
1e-06,0.002,10,0.4377792925850186,0.3631379528714717,1.8830080247186831,560.5092024539878,0.21477950824191794,1.81820552448187,0.03200689851161181,1.7500000000000002e-06,0.004,0.0040000003828124815,8.00172386211301,0.12497307045733651
1e-06,0.002,11,0.5230966961518106,0.44995152843602626,1.6098692490767583,559.4939895667952,0.21862918822444044,1.8247464883841702,0.0323192840191776,1.7500000000000002e-06,0.004,0.0040000003828124815,8.079820231530393,0.1237651298351462
1e-06,0.002,12,0.42991004497751123,0.3590451875064632,1.8639659052773125,554.7631184407796,0.27752523744129576,2.051387544810689,0.02995910272844141,1.7500000000000002e-06,0.004,0.0040000003828124815,7.489774965315517,0.13351535989144014
1e-06,0.002,13,0.44211166894872966,0.37100906015095253,1.856450962970131,562.9351894112277,0.29293395089916885,2.092738339677271,0.03068560374785221,1.7500000000000002e-06,0.004,0.0040000003828124815,7.671400202786115,0.13035429954975075
1e-06,0.002,14,0.4076259645937358,0.33011854380982186,1.9966941216169845,559.8742623694961,0.2814814643934369,2.077962336706904,0.029252579065911163,1.7500000000000002e-06,0.004,0.0040000003828124815,7.313144066587084,0.13674009302905507
1e-06,0.002,15,0.4433497536945813,0.3809754519492123,1.8470491128343083,560.8484274346343,0.33748308493522927,2.288319523089662,0.030607230354495692,1.7500000000000002e-06,0.004,0.0040000003828124815,7.65180685632213,0.13068808698089038
1e-06,0.002,16,0.4326769558275679,0.3575425132809512,1.8981698716308857,562.6361286398541,0.3199420556484256,2.228743010243086,0.030274846354757603,1.7500000000000002e-06,0.004,0.0040000003828124815,7.5687108643401535,0.13212289621360518
1e-06,0.002,17,0.5502098321342925,0.48842702866471316,1.4919651761225685,554.5971223021583,0.31222937678103335,2.189387662370771,0.031080021540376968,1.7500000000000002e-06,0.004,0.0040000003828124815,7.770004641480552,0.12870005181997585
1e-06,0.002,18,0.42223748473748474,0.34776315388683504,1.9293755093799168,564.7362637362637,0.24504107394022867,1.932803754010337,0.029149546526529943,1.7500000000000002e-06,0.004,0.0040000003828124815,7.287385934206912,0.13722341715237155
1e-06,0.002,19,0.43142748958727756,0.35673917502201236,1.8903107424358458,560.4244604316547,0.25780438049696386,1.990552545546402,0.0319750400602453,1.7500000000000002e-06,0.004,0.0040000003828124815,7.993759250033621,0.12509758784589292
1e-06,0.002,20,0.4342900880214313,0.36302201919381366,1.8630313221410295,566.4190585533869,0.5046682493411936,2.938305987065815,0.030775183271057535,1.7500000000000002e-06,0.004,0.0040000003828124815,7.693795081444187,0.1299748679831348
1e-06,0.002,21,0.4249043008331457,0.3434540390577913,1.9433762237267282,555.469714028372,0.24173441960010678,1.922695747234283,0.03031881812620818,1.7500000000000002e-06,0.004,0.0040000003828124815,7.579703806150739,0.13193127667977278
1e-06,0.002,22,0.44142911440516913,0.3760519739643655,1.8388272698913826,562.5507411630558,0.25102536065969616,1.9541722572160496,0.03031510361996253,1.7500000000000002e-06,0.004,0.0040000003828124815,7.578775179678199,0.13194744220430363
1e-06,0.002,23,0.4532927293490674,0.379289595243224,1.816652776060894,563.4057860677578,0.27131582115544006,2.0251354352777238,0.02861908999305735,1.7500000000000002e-06,0.004,0.0040000003828124815,7.154771813530349,0.13976686134265046
1e-06,0.002,24,0.4467806531115219,0.36534039900095433,1.862674846523572,569.9463955637708,0.25866846699500456,1.9829807801408776,0.029338029089188544,1.7500000000000002e-06,0.004,0.0040000003828124815,7.334506570361971,0.13634182346238571
