p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,1.3333333333333333,28,0.56,0.56,0.15960000000000002,30.49670992677907,,,,,,,,
0.01,1.3333333333333333,29,1.0,1.0,0.1552,30.556397582880674,,,,,,,,
0.01,1.3333333333333333,30,0.68,0.68,0.1444,30.46817479579623,,,,,,,,
0.01,1.3333333333333333,31,1.0,1.0,0.1532,30.50517859289811,,,,,,,,
0.01,1.3333333333333333,32,1.0,1.0,0.10079999999999999,30.599546044164477,,,,,,,,
0.01,1.3333333333333333,33,0.96,0.96,0.14120000000000002,30.530254874802026,,,,,,,,
0.01,1.3333333333333333,34,0.92,0.92,0.15720000000000003,30.528069405729944,,,,,,,,
0.01,1.3333333333333333,35,1.0,1.0,0.1576,30.4637120681735,,,,,,,,
0.01,1.3333333333333333,36,0.76,0.76,0.15600000000000003,30.548091091691436,,,,,,,,
0.01,1.3333333333333333,37,1.0,1.0,0.10479999999999999,30.584034525191555,,,,,,,,
0.01,1.3333333333333333,38,1.0,1.0,0.1264,30.504170109033065,,,,,,,,
0.01,1.3333333333333333,39,0.96,0.96,0.1244,30.422966865052246,,,,,,,,
0.01,1.3333333333333333,40,1.0,1.0,0.1396,30.550213721172685,,,,,,,,
0.01,1.3333333333333333,41,1.0,1.0,0.16,30.530335173877983,,,,,,,,
0.01,1.3333333333333333,42,1.0,1.0,0.138,30.562432931681215,,,,,,,,
0.01,1.3333333333333333,43,1.0,1.0,0.12639999999999998,30.511749266189184,,,,,,,,
0.01,1.3333333333333333,44,1.0,1.0,0.16520000000000004,30.521951324243418,,,,,,,,
0.01,1.3333333333333333,45,0.6,0.6,0.14400000000000002,30.611847419344123,,,,,,,,
0.01,1.3333333333333333,46,1.0,1.0,0.14320000000000002,30.603328159287656,,,,,,,,
0.01,1.3333333333333333,47,0.8,0.8,0.1424,30.344600635974444,,,,,,,,
0.01,1.3333333333333333,48,0.72,0.72,0.14800000000000002,30.53002372252333,,,,,,,,
0.01,1.3333333333333333,49,1.0,1.0,0.15360000000000001,30.486416348347785,,,,,,,,
0.01,1.3333333333333333,50,0.8,0.8,0.1444,30.551805785053702,,,,,,,,
0.01,1.3333333333333333,51,0.96,0.96,0.15560000000000002,30.48310859971837,,,,,,,,
0.01,1.3333333333333333,52,1.0,1.0,0.136,30.566743854460825,,,,,,,,
0.01,1.3333333333333333,53,1.0,1.0,0.11599999999999999,30.559496835904074,,,,,,,,
0.01,1.3333333333333333,54,1.0,1.0,0.1436,30.599035115112525,,,,,,,,
0.01,1.3333333333333333,55,1.0,1.0,0.057999999999999996,30.62637686924648,,,,,,,,
0.01,1.3333333333333333,56,1.0,1.0,0.14600000000000002,30.540995566726885,,,,,,,,
0.01,1.3333333333333333,57,1.0,1.0,0.1036,30.641075278768277,,,,,,,,
0.01,1.3333333333333333,58,0.84,0.84,0.134,30.57980297345018,,,,,,,,
0.01,1.3333333333333333,59,0.96,0.96,0.14559999999999998,30.477564449115647,,,,,,,,
0.01,1.3333333333333333,60,1.0,1.0,0.1576,30.462105050874815,,,,,,,,
0.01,1.3333333333333333,61,1.0,1.0,0.14159999999999998,30.523108179087743,,,,,,,,
0.01,1.3333333333333333,62,1.0,1.0,0.1444,30.50814741871563,,,,,,,,
0.01,1.3333333333333333,63,0.68,0.68,0.16080000000000003,30.56130204109991,,,,,,,,
0.01,1.3333333333333333,64,1.0,1.0,0.16360000000000002,30.445862245788845,,,,,,,,
0.01,1.3333333333333333,65,1.0,1.0,0.1436,30.434361157084265,,,,,,,,
0.01,1.3333333333333333,66,1.0,1.0,0.0828,30.53941090671784,,,,,,,,
0.01,1.3333333333333333,67,1.0,1.0,0.10880000000000001,30.51162752613264,,,,,,,,
0.01,1.3333333333333333,68,1.0,1.0,0.10799999999999998,30.536064533711947,,,,,,,,
