p_s,shape,rep,stake_top1_hit,stake_top_jaccard,stake_confidence,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.01,3.0,4,0.04,0.017309941520467834,0.018000000000000002,295.4067234465235,,,,,,,,
0.01,3.0,5,0.12,0.04588923288613691,0.01616,295.9497831013775,,,,,,,,
0.01,3.0,6,0.0,0.036491228070175435,0.01784,295.762646883672,,,,,,,,
0.01,3.0,7,0.56,0.05169590643274853,0.01516,295.34659697059146,,,,,,,,
0.01,3.0,8,0.12,0.014970760233918128,0.01744,296.18551795147295,,,,,,,,
0.01,3.0,9,0.0,0.019415204678362573,0.016640000000000002,296.71257615290864,,,,,,,,
0.01,3.0,10,0.04,0.036491228070175435,0.015880000000000002,295.69181136276035,,,,,,,,
0.01,3.0,11,0.08,0.029941520467836255,0.01496,296.0506267689848,,,,,,,,
0.01,3.0,12,0.04,0.029941520467836255,0.016560000000000002,295.35971474510353,,,,,,,,
0.01,3.0,13,0.12,0.050141038871689025,0.017240000000000002,295.6485614383341,,,,,,,,
0.01,3.0,14,0.04,0.03045063639490884,0.01616,296.1052186214962,,,,,,,,
0.01,3.0,15,0.0,0.02573099415204678,0.016280000000000003,295.7952074627317,,,,,,,,
0.01,3.0,16,0.04,0.026198830409356725,0.01708,296.87726706724885,,,,,,,,
0.01,3.0,17,1.0,0.07217062263501892,0.016560000000000002,294.90712750111527,,,,,,,,
0.01,3.0,18,0.04,0.050292397660818715,0.016,295.47523871382356,,,,,,,,
0.01,3.0,19,0.08,0.037000343997248025,0.01568,296.9090261493102,,,,,,,,
0.01,3.0,20,1.0,0.10629514963880288,0.015600000000000001,295.2906288056834,,,,,,,,
0.01,3.0,21,0.0,0.016842105263157894,0.0166,297.18334386652487,,,,,,,,
0.01,3.0,22,0.0,0.016842105263157894,0.0184,296.2256664779035,,,,,,,,
0.01,3.0,23,0.13333333333333333,0.06885448916408668,0.017280000000000004,296.176448821606,,,,,,,,
0.01,3.0,24,0.04,0.03489508083935329,0.01652,295.95329590879095,,,,,,,,
