p_s,shape,rep,stake_top_jaccard,stake_confidence,stake_top1_hit,bandwidth_overhead,latency,latency_overhead,eta,inv_eta,sigma_d,sigma_Z,sigma_eps,sigma_noise
0.02,1.1,96,0.4199633699633699,0.012120000000000002,1.0,589.9851642208051,,,,,,,,
0.02,1.1,97,0.48659340659340666,0.01008,1.0,589.8225600412217,,,,,,,,
0.02,1.1,98,0.4610989010989011,0.01084,1.0,592.5692700545388,,,,,,,,
0.02,1.1,99,0.39782805429864254,0.009559999999999999,1.0,590.0252788102981,,,,,,,,
0.02,1.1,100,0.3758500323206205,0.009840000000000002,1.0,591.2483050949307,,,,,,,,
0.02,1.1,101,0.3547619047619047,0.00988,1.0,591.4264910442778,,,,,,,,
0.02,1.1,102,0.4227106227106227,0.00788,1.0,590.5356776432376,,,,,,,,
0.02,1.1,103,0.49098901098901104,0.01072,1.0,593.131546818721,,,,,,,,
0.02,1.1,104,0.4972693972693973,0.011120000000000001,1.0,592.1933136066709,,,,,,,,
0.02,1.1,105,0.4235164835164836,0.009519999999999999,1.0,593.2588985852216,,,,,,,,
0.02,1.1,106,0.5741724941724942,0.01156,0.6,592.8395274086276,,,,,,,,
0.02,1.1,107,0.17653594771241832,0.00728,1.0,592.4057442537603,,,,,,,,
0.02,1.1,108,0.46315018315018314,0.011359999999999999,1.0,589.6099100714284,,,,,,,,
0.02,1.1,109,0.5002730602730603,0.01056,0.92,591.8087332978007,,,,,,,,
0.02,1.1,110,0.4444947209653092,0.012560000000000002,1.0,588.8016857619164,,,,,,,,
0.02,1.1,111,0.46553113553113545,0.01072,1.0,591.8523262549379,,,,,,,,
0.02,1.1,112,0.3912238741650506,0.01052,1.0,590.8238628504495,,,,,,,,
0.02,1.1,113,0.3914177978883861,0.01024,1.0,590.8126050288378,,,,,,,,
0.02,1.1,114,0.27943043884220353,0.00988,1.0,591.4652517005521,,,,,,,,
0.02,1.1,115,0.5238461538461539,0.01048,1.0,591.6343442289555,,,,,,,,
0.02,1.1,116,0.46040293040293045,0.011840000000000002,0.4,589.1354670832213,,,,,,,,
0.02,1.1,117,0.6084582084582084,0.0114,1.0,591.3607357566528,,,,,,,,
0.02,1.1,118,0.3767765567765568,0.006040000000000001,1.0,596.0740521989484,,,,,,,,
0.02,1.1,119,0.3787071751777635,0.011600000000000001,1.0,591.9283249812105,,,,,,,,
0.02,1.2,0,0.307953027364792,0.01152,0.96,591.543636799495,,,,,,,,
0.02,1.2,1,0.396996336996337,0.011120000000000001,1.0,590.543789422271,,,,,,,,
0.02,1.2,2,0.23496732026143793,0.01144,1.0,591.346304720421,,,,,,,,
0.02,1.2,3,0.18439775910364145,0.011320000000000002,1.0,589.4086787506722,,,,,,,,
0.02,1.2,4,0.25591970121381885,0.011920000000000002,1.0,590.0948045412479,,,,,,,,
0.02,1.2,5,0.3884249084249084,0.01056,1.0,591.0938426027219,,,,,,,,
0.02,1.2,6,0.3598534798534799,0.01152,0.96,589.7454985299828,,,,,,,,
0.02,1.2,7,0.18720330237358102,0.00788,1.0,591.1806972885176,,,,,,,,
0.02,1.2,8,0.29945629533864826,0.011640000000000001,0.76,591.2525372040433,,,,,,,,
0.02,1.2,9,0.34222509516627164,0.01248,0.64,591.1762638281058,,,,,,,,
0.02,1.2,10,0.4300732600732601,0.01232,0.36,590.1602577234681,,,,,,,,
0.02,1.2,11,0.43172161172161166,0.011600000000000001,0.76,591.8039592980673,,,,,,,,
0.02,1.2,12,0.52,0.01072,1.0,591.5917626981718,,,,,,,,
0.02,1.2,13,0.30803706097823746,0.0096,0.72,588.8158596844481,,,,,,,,
