mix_scale,attack,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
0.0002,mixnet_attribution,6,0.8039230593780886,0.7538119373951802,0.5881591748053832,562.6361286398541,0.2307662486564368,1.9255255684405672,0.030846799123442896,0.00035000000000000005,88.1337117812654,0.011346396058773167
0.0002,mixnet_attribution,7,0.8209682254196643,0.7828575783308274,0.5077518878489878,554.5971223021583,0.24933181059896015,1.9894335309127837,0.03079277292605136,0.00035000000000000005,87.97935121728959,0.011366303412834003
0.0002,mixnet_attribution,8,0.7886141636141636,0.736836494159922,0.6325091391846104,564.7362637362637,0.23473397074849345,1.9336415255864177,0.031862042067192446,0.00035000000000000005,91.03440590626411,0.010984857758391649
0.0002,mixnet_attribution,9,0.8349867474441499,0.796174754030383,0.478374843033354,560.4244604316547,0.2793878586962819,2.1223539186873146,0.0324371601929048,0.00035000000000000005,92.67760055115657,0.010790093766486928
0.0002,mixnet_attribution,10,0.8212782242632989,0.7791069503453099,0.5122294676568048,566.4190585533869,0.2696771777700633,2.0808659888309387,0.031510323454994896,0.00035000000000000005,90.02949558569969,0.011107470873788172
0.0002,mixnet_attribution,11,0.8002702094122945,0.7485111749008947,0.6023897895377247,555.469714028372,0.24813110937247984,1.9896960700800523,0.029557495976936445,0.00035000000000000005,84.44998850553269,0.011841327840257617
0.0002,mixnet_attribution,12,0.8181679969593311,0.7715904157127726,0.5410759185989469,562.5507411630558,0.2624078469525557,2.0420675677006663,0.03070552040592611,0.00035000000000000005,87.73005830264601,0.011398601794498513
0.0002,mixnet_attribution,13,0.8359345260753711,0.7928465831808555,0.4830708953284664,563.4057860677578,0.32251416228245944,2.274283362694262,0.031703925682392234,0.00035000000000000005,90.58264480683494,0.011039642330299288
0.0002,mixnet_attribution,14,0.8125385089340728,0.76457910258928,0.5534330067602814,569.9463955637708,0.2586512683192268,2.026221233777423,0.030258738590080745,0.00035000000000000005,86.45353882880211,0.011566906497375774
0.0002,mixnet_attribution,15,0.7775826525158434,0.7236491442575828,0.6590192910495157,565.037565854776,0.2149499400111381,1.8515980531084593,0.0316363581263063,0.00035000000000000005,90.38959464658942,0.011063220317668855
0.0002,mixnet_attribution,16,0.7978853815507202,0.752162125451318,0.5870862239065674,566.9822249463683,0.2539374683110509,2.007658253069799,0.029919379884863935,0.00035000000000000005,85.48394252818265,0.011698103414805844
0.0002,mixnet_attribution,17,0.7734961693089585,0.7201129020300482,0.6680607108868888,561.3580368656603,0.27241669670911506,2.073815648434941,0.032109129953776655,0.00035000000000000005,91.74037129650472,0.010900326496041767
0.0002,mixnet_attribution,18,0.8433412376654172,0.8022913245071811,0.463570758287616,566.0730513271628,0.25216503214323893,1.9971761533615173,0.03181311036078658,0.00035000000000000005,90.89460103081879,0.011001753554767674
0.0002,mixnet_attribution,19,0.8813495641719267,0.8485043031152473,0.34877189761235383,556.0946798917944,0.29439034589449875,2.168840479418483,0.030340965567172504,0.00035000000000000005,86.68847304906429,0.011535559052170824
0.0002,mixnet_attribution,20,0.8160797944687925,0.7690964561905834,0.542455310551239,559.1985794166541,0.22664269417873584,1.8977625248671899,0.031619733396480096,0.00035000000000000005,90.34209541851455,0.011069037034922059
0.0002,mixnet_attribution,21,0.829077367381061,0.7821851421969485,0.5113242463764541,562.4227086183311,0.23922880867030472,1.9428656462533123,0.031669455279584716,0.00035000000000000005,90.4841579416706,0.011051658353771017
0.0002,mixnet_attribution,22,0.8134062096712974,0.7668171446914049,0.549202970151561,561.7834206331132,0.22856125072576106,1.9123528889148083,0.029863876670271714,0.00035000000000000005,85.32536191506203,0.011719844809981115
0.0002,mixnet_attribution,23,0.8113854595336076,0.761872230428411,0.560467978135224,563.9629629629629,0.2405096481088549,1.974886874928348,0.029119753575308195,0.00035000000000000005,83.19929592945198,0.012019332481466432
0.0002,mixnet_attribution,24,0.8273143629401607,0.7833983980487019,0.5034563557904304,555.6362339514978,0.24543609278043732,1.996447737166366,0.03405925701219133,0.00035000000000000005,97.3121628919752,0.010276207724517285
0.0002,mixnet_attribution,25,0.8260541030678555,0.778165836898839,0.5213474916041058,559.1985794166541,0.25728515090304427,2.0545253043317535,0.030130516970278545,0.00035000000000000005,86.08719134365298,0.011616129930503627
0.0002,mixnet_attribution,26,0.8231441048034934,0.7784917100152744,0.5247481914973559,557.1812979972896,0.21861037160851993,1.8704043536758492,0.034327348132641856,0.00035000000000000005,98.07813752183387,0.010195952179224274
