entry_assignment,width,rep,deanon_top1,mean_true_posterior,posterior_entropy,bandwidth_overhead,latency,latency_overhead,sigma_d,sigma_Z,eta,inv_eta
split,3,8,0.8128815628815629,0.7666904476213627,0.5496949962513674,564.7362637362637,0.2749279066338204,2.0935107064281944,0.03230533041206163,0.00017500000000000003,184.60188806892356,0.005417062688040529
split,3,9,0.8156001514577812,0.7672052173761609,0.5517612462914334,560.4244604316547,0.2387784083839506,1.9592180690964769,0.031061689085441248,0.00017500000000000003,177.49536620252138,0.005633949896241261
split,3,10,0.8379640260237275,0.7953800941131053,0.4801740384850604,566.4190585533869,0.25546180226956494,2.023890771187383,0.028870061476957018,0.00017500000000000003,164.9717798683258,0.0060616427900466495
split,3,11,0.8294678375741199,0.7868085473146528,0.4993407577841649,555.469714028372,0.26268393301870674,2.047741481667755,0.03066020806064587,0.00017500000000000003,175.2011889179764,0.005707723824112679
split,3,12,0.8554161915621437,0.8184854464256753,0.42024698297239943,562.5507411630558,0.2804351983650122,2.113657340859623,0.03138662173555165,0.00017500000000000003,179.35212420315227,0.005575623954513632
split,3,13,0.800685192234488,0.7504201020201313,0.5952511852296395,563.4057860677578,0.2476947968825698,1.9786651118190588,0.030084604029169126,0.00017500000000000003,171.91202302382356,0.005816928812834807
split,3,14,0.789279112754159,0.7362551486576911,0.6273093008517387,569.9463955637708,0.22754716573399492,1.9028130218711854,0.030888872787625567,0.00017500000000000003,176.5078445007175,0.005665470579104687
split,3,15,0.8442391387340612,0.8026790826240381,0.45739990058240493,565.037565854776,0.2748858097475022,2.0890545975308727,0.03138415494725324,0.00017500000000000003,179.33802827001847,0.005576062197440691
split,3,16,0.840560833588722,0.7983874518256048,0.4718162630062201,566.9822249463683,0.25350463986978866,2.0059407312172652,0.03226847218885354,0.00017500000000000003,184.39126965059165,0.005423250254173795
split,3,17,0.802472881741637,0.755585274912944,0.5744404548203585,561.3580368656603,0.27367062159464695,2.0787583857205485,0.03181250801527116,0.00017500000000000003,181.78576008726375,0.005500980932279645
split,3,18,0.80601239195288,0.7588776471339045,0.570921044837873,566.0730513271628,0.257260775368195,2.0173270584429694,0.031924408359109264,0.00017500000000000003,182.42519062348148,0.005481699082140258
split,3,19,0.8180042079951909,0.7699697474222572,0.5385530168763849,556.0946798917944,0.24130449327640235,1.9580696634260615,0.030663321082531215,0.00017500000000000003,175.21897761446405,0.005707144360814096
split,3,20,0.82718754722684,0.7814487737298511,0.510154778337147,559.1985794166541,0.24170146440155804,1.9574123610360723,0.032537193946335724,0.00017500000000000003,185.92682255048982,0.005378460118245943
split,3,21,0.8334853321173431,0.7909271926842634,0.4899980043315399,562.4227086183311,0.2562147235730663,2.00981174576789,0.02919893172283366,0.00017500000000000003,166.8510384161923,0.005993369951379059
split,3,22,0.8280573901161467,0.7843298648448248,0.5055573458660695,561.7834206331132,0.2628858419484459,2.049367102231356,0.030756134827649922,0.00017500000000000003,175.74934187228524,0.005689921733685279
split,3,23,0.7860082304526749,0.7298011684114561,0.6520964338539392,563.9629629629629,0.2201634175144136,1.8924150351632798,0.030152774204889276,0.00017500000000000003,172.30156688508154,0.005803777748968245
